sensor_id,moy_co2,moy_pm25,window_start,window_end
sensor_01,656.0384615384615,26.596153846153847,1766412570000,1766412600000
sensor_01,636.952380952381,28.28047619047619,1766412600000,1766412630000
sensor_01,638.1363636363636,27.610000000000003,1766412690000,1766412720000
sensor_01,585.8571428571429,22.07142857142857,1766412720000,1766412750000
sensor_01,605.24,27.105999999999998,1766412810000,1766412840000
sensor_01,647.6,27.1772,1766412840000,1766412870000
sensor_01,631.1538461538462,24.858076923076926,1766412930000,1766412960000
sensor_01,592.2692307692307,24.959999999999997,1766412960000,1766412990000
sensor_01,664.24,25.670799999999996,1766413050000,1766413080000
sensor_01,599.08,24.050800000000002,1766413080000,1766413110000
sensor_01,663.24,25.541999999999998,1766413170000,1766413200000
sensor_01,630.2083333333334,23.289999999999996,1766413200000,1766413230000
sensor_01,670.3846153846154,25.677692307692308,1766413290000,1766413320000
sensor_01,640.7307692307693,25.419999999999998,1766413320000,1766413350000
sensor_01,662.88,25.779599999999995,1766413440000,1766413470000
sensor_01,660.72,22.5364,1766413470000,1766413500000
sensor_01,647.56,24.5484,1766413560000,1766413590000
sensor_01,667.75,15.495000000000003,1766413590000,1766413620000
sensor_01,662.5652173913044,29.860869565217396,1766413680000,1766413710000
sensor_01,619.56,26.2324,1766413710000,1766413740000
sensor_01,686.88,22.632399999999997,1766413800000,1766413830000
sensor_01,604.28,21.5968,1766413830000,1766413860000
sensor_01,626.2,24.527200000000004,1766413920000,1766413950000
sensor_01,644.2222222222222,23.407037037037032,1766413950000,1766413980000
sensor_01,625.2884615384615,26.933461538461543,1766414040000,1766414070000
sensor_01,639.88,23.145399999999995,1766414070000,1766414100000
sensor_01,594.7692307692307,26.625769230769233,1766414160000,1766414190000
sensor_01,642.9056603773585,23.358679245283017,1766414190000,1766414220000
sensor_01,663.1346153846154,23.356538461538456,1766414280000,1766414310000
sensor_01,619.5961538461538,26.070769230769237,1766414310000,1766414340000
sensor_01,656.2857142857143,24.478095238095236,1766414430000,1766414460000
sensor_01,615.6,26.520600000000005,1766414460000,1766414490000
sensor_01,617.4375,25.296875000000004,1766414550000,1766414580000
sensor_01,648.2708333333334,25.122916666666665,1766414580000,1766414610000
sensor_01,655.2142857142857,25.428571428571427,1766414670000,1766414700000
sensor_01,641.2,26.499600000000004,1766414700000,1766414730000
sensor_01,592.5833333333334,27.790416666666673,1766414790000,1766414820000
sensor_01,619.5769230769231,26.955,1766414820000,1766414850000
sensor_01,583.3076923076923,25.096153846153847,1766414910000,1766414940000
sensor_01,598.2,22.038400000000006,1766414940000,1766414970000
sensor_01,608.5384615384615,26.513461538461538,1766415030000,1766415060000
sensor_01,641.8846153846154,25.05576923076923,1766415060000,1766415090000
sensor_01,624.32,26.099600000000006,1766415150000,1766415180000
sensor_01,661.32,26.976,1766415180000,1766415210000
sensor_01,611.8,21.64,1766415300000,1766415330000
sensor_01,628.4583333333334,24.51124999999999,1766415330000,1766415360000
sensor_01,645.7307692307693,25.48076923076923,1766415420000,1766415450000
sensor_01,606.3846153846154,25.956153846153846,1766415450000,1766415480000
sensor_01,636.5769230769231,24.856923076923074,1766415540000,1766415570000
